Wine Name,Price,Image,Winery,Grapes,Region,Wine Style,Product URL,volume,volume_unit,type,ageing,seasons,food_type,course,soil_type,vintage,tasting_notes,Food 1,Grape and Food Type 1,Tasting Notes 1,Food & Wine Acidity 1,Regional Pairing 1,Sweetness & Spiciness 1,Food 2,Grape and Food Type 2,Tasting Notes 2,Food & Wine Acidity 2,Regional Pairing 2,Sweetness & Spiciness 2,Food 3,Grape and Food Type 3,Tasting Notes 3,Food & Wine Acidity 3,Regional Pairing 3,Sweetness & Spiciness 3
2019-clos-la-madeleine-saint-emilion-grand-cru-3,,,,,,,,750 ml,ml,red,aged in oak barrels for at least 12 months,best to drink within 3-5 years of vintage,"beef, lamb, or game",main course,limestone and clay,2019,"dark fruit, spice, and leather notes complement rich meat dishes.",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,Full-bodied reds match rich meats.,"Earthy, spice, and dark fruit notes complement bold meat flavors.",Moderate acidity cuts through fattiness.,Traditional pairing in Bordeaux; rich reds with hearty meats.,Not applicable; leans savory and bold.,Braised Beef Short Ribs with Carrots and Turnips,Full-bodied reds complement rich meat dishes.,"Earthy, spice, and dark fruit notes match bold beef flavors.",Moderate acidity balances richness.,Traditional pairing in red wine-drinking cultures; bold wines with hearty meat dishes.,Not applicable; leans savory and bold.,Pan-Seared Duck Breast with Cherry Compote and Polenta,Fruitful reds match the richness of duck.,"Fruity, spice, and dark chocolate notes complement the sweetness of cherry compote.",Moderate acidity balances richness.,Pairing red wine with poultry or game is common in European cuisine; fruitful wines complement rich flavors.,
2020-clos-la-madeleine-saint-emilion-grand-cru,,,,,,,,750 ml,ml,red,aged in oak barrels for at least 12 months,"winter, spring, summer","beef, lamb, or game",main course,limestone and clay,2020,"dark fruit, spice, leather, tobacco",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,"Rich, full-bodied reds complement bold meats.",The wine's dark fruit and spice notes complement the savory meat flavors.,High acidity cuts through the richness of the dish.,Traditional pairings in red wine-drinking cultures.,Moderate sweetness balances the bold flavors.,Braised Lamb Shanks with White Beans and Greens,Structured reds complement slow-cooked meats.,"The wine's dark fruit and spice notes complement the rich, savory meat flavors.",Moderate acidity balances the bold flavors.,Traditional pairings in red wine-drinking cultures.,Minimal sweetness keeps it fresh and savory.,Roasted Chestnut and Wild Mushroom Tart with Goat Cheese,Off-dry to sweet white wines complement earthy flavors.,"The wine's floral, fruity notes enhance the richness of the cheese and mushrooms.",Moderate acidity balances the richness of the dish.,Mediterranean or French cuisine favor sweet white wines with savory elements.,Minimal sweetness keeps it fresh and savory.
2014-lady-laroze-saint-emilion-grand-cru,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,"spring, summer","beef, lamb",main course,limestone and clay,2014,"dark fruit, spice, and leather notes complement rich red meat dishes.",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,"The bold, full-bodied red wine pairs well with the richness of grilled beef.",The wine's dark fruit and spice notes complement the savory umami flavors of the roasted garlic mashed potatoes.,High acidity balances the richness of the dish.,Traditional pairing for red wine with red meat in French cuisine.,Moderate sweetness and spice levels complement each other nicely.,Pan-Seared Duck Breast with Cherry Compote,The wine's fruit and acidity complement the richness of the duck breast.,"The wine's dark fruit notes match the duck's juicy, savory flavors, while its acidity cuts through the fatty richness.",High acidity balances the fattiness of the dish.,Traditional pairing for red wine with game meat in French cuisine.,Moderate sweetness and spice levels complement each other nicely.,Braised Short Ribs with Red Wine reduction Sauce,"The wine's rich, fruity flavors complement the braised beef short ribs.",The wine's dark fruit and spice notes match the savory umami flavors of the reduction sauce.,High acidity balances the richness of the dish.,Traditional pairing for red wine with braised meats in French cuisine.,Moderate sweetness and spice levels complement each other nicely.
2013-lif-saint-emilion,,,,,,,,750 ml,,Red,Aged in oak barrels for 12 months,Best to drink between 2020 and 2030,,Main course,,2013,,Grilled ribeye steak with roasted vegetables,"Full-bodied red wines complement rich, savory meats.",Dark fruit and spice flavors in the wine match the meat’s bold flavors.,Moderate acidity cuts through the richness of the dish.,Traditional pairing for red wine with grilled meats.,Minimal sweetness and moderate spice balance each other out.,Braised lamb shank with mushrooms,"Rich, full-bodied red wines complement slow-cooked meats.",Dark fruit and spice flavors in the wine match the meat’s bold flavors.,Moderate acidity cuts through the richness of the dish.,Traditional pairing for red wine with slow-cooked meats.,Minimal sweetness and moderate spice balance each other out.,Roasted wild mushroom tart,Off-dry to sweet white wines complement earthy flavors.,Floral and stone fruit notes in the wine match the earthy flavors of the mushrooms.,High acidity cuts through any richness or heaviness in the dish.,Classic pairing for white wine with vegetarian dishes.,Minimal sweetness and no spice balance each other out.
2014-lif-saint-emilion,,,,,,,,750 ml,ML,red,aged in oak barrels for 12 months,Spring and summer,"Beef, lamb, or game",Main course,Limestone and clay,2014,"Dark fruit, spice, and leather notes complement rich, full-bodied red meat dishes.",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,"Rich, full-bodied red wines complement bold, savory meats.","The wine's dark fruit and spice flavors enhance the beef's natural richness, while its acidity cuts through the fattiness of the mashed potatoes.",,,,Braised Beef Short Ribs with Roasted Vegetables,"The wine's dark fruit and spice flavors complement the beef's richness, while its tannins balance the sauce's acidity.",,,,,Roasted Chicken with Herbs and Lemon,"Off-dry red wines complement the herbal and citrus flavors in the dish, while their acidity cuts through the richness of the chicken.",,,,
2015-lif-saint-emilion,,,,,,,,750 ml,,Red,Aged in oak barrels for 12 months,"Spring, summer",,Main course,,2015,,Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,Rich and full-bodied red wines match the beef's bold flavors.,The wine's dark fruit and spice notes complement the savory umami flavors in the steak.,Moderate acidity cuts through the richness of the dish.,Classic pairings from the Bordeaux region.,,Braised Lamb Shanks with Rosemary and Garlic,Full-bodied red wines match the richness of the lamb.,The wine's dark fruit and spice notes complement the herbal flavors in the dish.,Moderate acidity balances the richness of the lamb.,Traditional pairings from the Mediterranean region.,,Pan-Seared Duck Breast with Cherry Compote and Polenta,Rich and full-bodied red wines match the bold flavors of the duck.,The wine's dark fruit and spice notes complement the savory umami flavors in the duck.,Moderate acidity cuts through the richness of the dish.,Traditional pairings from the Bordeaux region.,
2016-lif-saint-emilion,,,,,,,,750 ml,,Red,Aged in oak barrels (30% new),Best enjoyed in the fall and winter,,Main course,,2016,,Grilled ribeye steak with roasted vegetables,"Rich, full-bodied wines pair well with bold, savory meats.","The wine's dark fruit and spice flavors complement the charred, savory steak.",High acidity cuts through the richness of the steak.,Classic pairing for red wines from Bordeaux.,Moderate sweetness and mild spice from the wine complement the bold flavors of the steak.,Braised short ribs with mushrooms and bacon,"Rich, full-bodied wines pair well with hearty, savory dishes.","The wine's dark fruit and spice flavors complement the rich, meaty flavors of the short ribs.",High acidity balances the richness of the dish.,Classic pairing for red wines from Bordeaux.,Moderate sweetness and mild spice from the wine complement the bold flavors of the short ribs.,Roasted lamb shoulder with rosemary and thyme,"Herbaceous, structured wines pair well with rich, savory meats.",The wine's herbal and spice flavors complement the rosemary and thyme in the dish.,High acidity cuts through the richness of the lamb.,Classic pairing for red wines from Bordeaux.,Moderate sweetness and mild spice from the wine complement the bold flavors of the lamb.
2017-lif-saint-emilion,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,"spring, summer",beef or lamb,main course,limestone and clay,2017,"dark fruit, spice, and leather notes complement rich, savory dishes.",Grilled Ribeye with Roasted Vegetables,"The bold tannins and dark fruit flavors of the Saint-Emilion pair excellently with the rich, grilled beef.",The wine's dark fruit and spice notes complement the smokiness of the grill and the earthy sweetness of the vegetables.,Moderate acidity balances the richness of the dish.,Traditional pairing with red meats in French cuisine.,Not applicable; leaning savory and bold.,Braised Short Ribs with Mushrooms,"The wine's rich, fruity flavors complement the tender beef and earthy mushrooms.","The fruitiness of the wine balances the gaminess of the mushrooms, while the tannins provide structure to the dish.",Moderate acidity cuts through the richness of the sauce.,Common pairing in French and Italian cuisine with red wines.,"Minimal sweetness keeps it savory, while the tannins provide balance to the bold flavors.",Beef Bourguignon,"The wine's rich, fruity flavors and moderate acidity complement the hearty beef stew.","The fruitiness of the wine balances the bold flavors of the dish, while the tannins provide structure and depth.",Moderate acidity cuts through the richness of the sauce.,Traditional pairing with red wines in French cuisine.,Not applicable; leaning savory and bold.
1996-chateau-bourgneuf-pomerol,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,"spring, summer","beef, lamb",main course,clay and limestone,1996,"dark fruit, spice, smooth tannins",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,Full-bodied red wines complement rich meats.,The wine's dark fruit and spice notes enhance the beef's savory flavors.,High acidity balances the bold flavors of the dish.,Classic pairings from Bordeaux match robust red wines with hearty meats.,Moderate sweetness and spice complement the rich flavors of the dish without overpowering it.,Pan-Seared Duck Breast with Cherry Compote,Fruit-forward red wines complement savory duck flavors.,"The wine's dark fruit notes match the duck's rich, savory flavors.",High acidity balances the richness of the duck and the sweetness of the cherry compote.,"Classical pairings from Bordeaux complement game meats with bold, fruit-forward wines.",Moderate sweetness and spice complement the savory flavors of the duck without overpowering it.,Braised Short Ribs with Fig Compote,"Rich, full-bodied red wines complement hearty beef dishes.",The wine's dark fruit and spice notes match the beef's rich flavors.,High acidity balances the bold flavors of the dish.,Traditional pairings from Bordeaux complement robust red wines with hearty meats.,Moderate sweetness and spice complement the rich flavors of the dish without overpowering it.
2019-chateau-bourgneuf-pomerol,,,,,,,,750 ml,ml,red,aged in oak barrels,"spring, summer","beef, lamb",main course,iron and limestone,2019,"dark fruit, spice, leather",Grilled Steak with Roasted Garlic Butter,Rich and full-bodied reds complement bold meats.,The wine's dark fruit flavors and spicy undertones enhance the savory beef taste.,Moderate acidity cuts through the richness of the dish.,Traditional pairings for red wines from Bordeaux.,Moderate sweetness balances the spicy garlic flavor.,Braised Lamb Shanks with Rosemary and Lemon,Full-bodied reds complement rich meats.,The wine's dark fruit flavors and spicy undertones enhance the savory lamb taste.,Moderate acidity cuts through the richness of the dish.,Traditional pairings for red wines from Bordeaux.,Minimal sweetness keeps it fresh and savory.,Roasted Vegetable Tart with Goat Cheese and Herbs,Off-dry reds complement the richness of goat cheese.,The wine's fruit flavors and herbal undertones enhance the savory cheese taste.,Moderate acidity balances the richness of the dish.,French pairings for red wines from Bordeaux.,Minimal sweetness keeps it fresh and savory.
